first_name,last_name,email,section,major1,major2,minor1,minor2
Leontyne,Abbe,labbemx@dion.ne.jp,9,Psychology,,,
Beryle,Abbotts,babbotts4a@taobao.com,9,Women & Gender Studies,,,
Tobye,Ablott,tablottjt@live.com,3,Criminology,Computer Science,,
Bonnibelle,Adams,badamso1@usda.gov,9,Psychology,,,
Shurlock,Agdahl,sagdahl21@histats.com,3,Criminology,Computer Science,,
Karil,Aisman,kaisman9m@guardian.co.uk,1,Biology,,Accounting,
Salim,Aiston,saistoni6@cpanel.net,4,Journalism,History,,
Catina,Aistrop,caistropls@nbcnews.com,5,Accounting,Statistics,Psychology,
Skell,Akers,sakersc1@dailymotion.com,9,Women & Gender Studies,,,
Malory,Alcorn,malcornnw@vkontakte.ru,3,Criminology,Computer Science,,
Norrie,Alcorn,nalcorndk@hao123.com,8,Nursing,,Journalism,
Caesar,Aldwich,caldwich43@java.com,8,Nursing,,Journalism,
Jesselyn,Aleavy,jaleavy6h@hostgator.com,7,History,,,
Beatrix,Algate,balgate7f@accuweather.com,4,Journalism,History,,
Tabby,Allabarton,tallabarton7j@si.edu,8,Nursing,,Journalism,
Jordain,Alldis,jalldis1j@elpais.com,11,Philiosophy,,,
Charlotta,Alliband,calliband14@stanford.edu,2,Computer Engineering,Chemistry,Biology,
Molly,Alsop,malsophh@google.es,3,Criminology,Computer Science,,
Tonie,Alstead,talsteadn7@bloomberg.com,4,Journalism,,History,
